ID,title,location,price,details,specifications
JTGH8WJ,CASA EN VENTA EN RESIDENCIAL MONTE REAL, Residencial Monte Real,"
                                       $ 256,223                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área238 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 4  ']"
HUUMTV3,VENTA DE CASA EN EL SAUCE, El Sauce,"
                                       $ 295,000                                                                              ","['   Habitaciones3  ', '   Baños+5  ', '  Área250 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento 2  ']"
RHMZN3Q,VENTA DE CASA EN LOAS UVAS, Residencial Las Uvas,"
                                       $ 240,079                                                                              ","['   Habitaciones4  ', '   Baños4.5  ', '  Área374 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 2  ']"
OFO5VQT,VENTA DE CASAS LOMAS DE GERMANIA, Tegucigalpa,"
                                       $ 90,456                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área102 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 2  ', '  Año de construcción 0  ']"
37ELMYQ,VENTA DE CASA EN RESIDENCIAL LOMAS DEL PINAR, Residencial Lomas del Pinar,"
                                       $ 201,929                                                                              ","['   Habitaciones3  ', '  Área300 m2 ']","['  Cocina 1  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Estacionamiento +5  ']"
U5PQ57M,CASA EN VENTA RESIDENCIAL SAN IGNACIOE, Colonia San Ignacio,"
                                       $ 1,269,450                                                                              ","['   Habitaciones6  ', '   Baños6+  ', '  Área516 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 3  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento +5  ', '  Servicio mensual 0  ']"
R46KU9N,CASA EN VENTA EN TRES CAMINOS, Colonia Tres Caminos,"
                                       $ 400,000                                                                              ","['   Habitaciones5  ', '   Baños5.5  ', '  Área430 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 2  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento 2  ', '  Servicio mensual 0  ']"
2IHSCW3,CASA EN VENTA EN LOMA LINDA NORTE, Colonia Loma Linda Norte,"
                                       $ 300,000                                                                              ","['   Habitaciones7  ', '   Baños6+  ', '  Área289 m2 ']","['  Amueblado No  ', '  Cocina 2  ', '  Balcón 2  ', '  Tipo de calle Avenida  ', '  Orientación Amanecer  ', '  Suelo 1  ', '  Estacionamiento +5  ']"
9MLJYAZ,VENTA DE CASA EN BARRIO LA BOLSA, Barrio La Bolsa,"
                                       $ 55,000                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área205 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Balcón 1  ', '  Tipo de calle Avenida  ', '  Orientación Amanecer  ', '  Suelo 2  ', '  Servicio mensual 0  ']"
MJH749L,VENTA DE CASA EN MONTE VERDE, Colonia Universidad Norte,"
                                       $ 202,452                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área374 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Salas de recepción Si  ', '  Balcón 1  ', '  Tipo de calle Calle  ', '  Orientación Amanecer  ', '  Suelo 2  ', '  Estacionamiento 2  ']"
