location,usd_price,bedrooms,bathrooms,surface_m²,parking
Colonia Lomas del Mayab,460000.0,3,2.0,350.0,2.0
Colonia Lomas del Mayab,630000.0,4,3.0,616.0,4.0
Lomas del Guijarro Sur,390000.0,3,3.0,400.0,2.0
Lomas del Guijarro Sur,376921.0,4,4.0,325.0,0.0
Colonia Lomas del Guijarro,750000.0,3,3.0,490.0,4.0
Colonia Lomas del Guijarro,395000.0,5,4.0,625.0,4.0
Colonia Palmira,385000.0,5,5.0,495.0,4.0
Colonia Las Palomas,1004622.0,6,6.0,380.0,4.0
Viera,285000.0,4,4.0,387.0,3.0
Tegucigalpa,480000.0,4,3.0,370.0,3.0
Colonia Los Angeles,600000.0,4,4.0,832.0,2.0
Residencial Plaza,101500.0,3,3.0,86.0,2.0
Colonia Las Minitas,325000.0,3,2.0,222.0,5.0
Colonia La Pradera,81000.0,4,3.0,128.0,1.0
Colonia Alameda,325000.0,3,2.0,810.0,3.0
Barrio Guadalupe,101500.0,5,3.0,146.0,0.0
Residencial Las Uvas,98904.0,3,3.0,104.0,0.0
Tegucigalpa,222318.0,3,2.0,250.0,2.0
Tegucigalpa,48545.0,3,2.0,58.0,0.0
Residencial El Sauce,315784.0,6,5.0,327.0,2.0
Residencial Altos de Miramontes,480000.0,3,3.0,527.0,4.0
Colonia Centro América Oeste,39974.0,2,1.0,89.0,0.0
La Joya,408095.0,4,2.0,430.0,0.0
Colonia La Reforma,281165.0,6,4.0,1190.0,3.0
Colonia El Recreo,333893.0,4,4.0,1050.0,0.0
Tegucigalpa,225000.0,3,3.0,233.0,2.0
Residencial Altos de Venecia,120000.0,3,2.0,136.0,2.0
Residencial Pinares del Uyuca,384483.0,4,5.0,904.0,0.0
Colonia Los Angeles,600000.0,5,5.0,620.0,2.0
Paseo El Manchen,110000.0,5,4.0,192.0,0.0
Victor F. Ardon,97912.0,4,3.0,95.0,1.0
Colonia Altos de Miramonte,342550.0,4,4.0,430.0,4.0
Residencial Las Uvas,203351.0,4,3.0,175.0,3.0
2PXW+P6F,120000.0,2,3.0,145.0,2.0
Residencial Roble Oeste,161856.0,3,2.0,144.0,2.0
Colonia Los Profesionales,439239.0,6,6.0,663.0,0.0
Tegucigalpa,160000.0,3,2.0,418.0,2.0
Tegucigalpa,125000.0,3,3.0,120.0,2.0
Residencial Las Uvas,420000.0,5,6.0,518.0,0.0
Residencial La Cumbre,260000.0,4,4.0,295.0,0.0
Altos de Las Casitas,100000.0,3,3.0,105.0,2.0
Colonia Montecarlo,261950.0,7,6.0,452.0,0.0
Vista Hermosa,60708.0,3,3.0,90.0,0.0
Tiloarque,93833.0,4,3.0,171.0,2.0
Tiloarque,64755.0,2,1.0,90.0,1.0
Colonia Florencia Sur,290000.0,4,3.0,385.0,2.0
Colonia Humuya,291275.0,7,6.0,664.0,5.0
Colonia Humuya,149508.0,3,3.0,483.0,2.0
Colonia La Primavera,265179.0,5,4.0,330.0,3.0
Colonia Florencia Oeste,275000.0,3,2.0,270.0,2.0
