location,usd_price,bedrooms,bathrooms,surface_m²,parking
Tegucigalpa,360588.0,3,3.0,400.0,4.0
Colonia Lomas del Guijarro,386344.0,3,4.0,440.0,0.0
Colonia Tres Caminos,153507.0,3,2.0,110.0,0.0
Colonia Miraflores Sur,152219.0,3,4.0,160.0,0.0
Colonia Miraflores Sur,177203.0,3,3.0,400.0,0.0
Tegucigalpa,144235.0,3,2.0,582.0,0.0
Tegucigalpa,151718.0,3,2.0,152.0,0.0
Tegucigalpa,161512.0,3,3.0,288.0,0.0
Villas Corinto,113328.0,3,3.0,200.0,2.0
Colonia Venecia,169991.0,3,4.0,280.0,0.0
Distrito Central,164840.0,3,4.0,180.0,0.0
Residencial Viera,144235.0,3,3.0,120.0,0.0
Carretera Vieja del Norte,153507.0,3,4.0,232.0,0.0
Tegucigalpa,290000.0,5,4.0,301.0,5.0
Tegucigalpa,197808.0,4,3.0,314.0,2.0
Tres Caminos,275000.0,3,3.5,366.0,2.0
Lomas del Mayab,404695.0,3,2.5,518.0,6.0
Tepeyac,976000.0,5,5.5,620.0,2.0
Res. El Trapiche,260000.0,3,2.5,218.0,2.0
Palma Real,270000.0,3,4.0,329.0,2.0
Florencia Sur,400000.0,4,5.0,468.0,2.0
La Granja,160000.0,3,2.0,282.0,2.0
Villa Elena,465000.0,3,3.5,889.0,2.0
Lomas del Guijarro,400000.0,5,4.5,625.0,4.0
Anillo Periferico,188000.0,3,2.5,150.0,2.0
Las Hadas,220000.0,3,2.5,178.0,2.0
Tegucigalpa,72845.0,2,2.0,168.0,0.0
Miraflores,210000.0,3,3.5,220.0,2.0
Miraflores,193000.0,3,3.5,218.0,3.0
Francisco Morazán,485000.0,4,3.5,364.0,4.0
Loma Verde,385000.0,4,4.0,289.0,3.0
Loma Verde,550000.0,4,4.5,510.0,3.0
El Trapiche,400000.0,4,4.5,340.0,0.0
San Ignacio,440000.0,4,4.5,346.0,3.0
Viera,280000.0,4,3.5,400.0,4.0
Santa Lucia,264000.0,7,7.5,1340.0,2.0
Tres Caminos,395000.0,5,5.5,480.0,3.0
Altos de Miramontes,450000.0,7,5.0,720.0,10.0
Altos de la Granja,400000.0,3,3.5,611.0,2.0
Lomas del Mayab,3000.0,4,4.5,450.0,4.0
Lomas del Mayab,450000.0,3,2.5,527.0,3.0
El Trapiche,430000.0,4,4.5,464.0,4.0
Loma Linda,850000.0,5,5.0,890.0,0.0
Loarque,426618.0,4,3.5,191.0,3.0
Palmira,450000.0,5,3.0,591.0,2.0
El Molino,345000.0,2,2.0,247.0,0.0
Lomas del Guijarro Sur,892500.0,4,6.5,988.0,4.0
Lomas del Guijarro,532000.0,5,5.0,448.0,8.0
Siguatepeque,194500.0,2,3.0,145.0,0.0
Barrio Guadalupe,303767.0,5,4.0,246.0,2.0
La Hacienda,4500.0,4,4.0,700.0,4.0
Lomas del Guijarro,600000.0,4,4.5,375.0,2.0
El Hatillo,550000.0,3,3.5,560.0,4.0
Lara,490000.0,5,4.5,579.0,3.0
Valle de Angeles,253200.0,4,4.0,250.0,8.0
El Hatillo,7000.0,4,5.5,400.0,8.0
Lomas del Mayab,635000.0,4,4.0,456.0,0.0
San Ignacio,930000.0,4,4.0,550.0,0.0
Valle de Angeles,163000.0,2,2.0,92.0,0.0
Valle de Angeles,1000000.0,3,3.5,540.0,2.0
Godoy,190000.0,4,4.5,352.0,2.0
Los Angeles,350000.0,4,4.0,340.0,0.0
Distrito Central,150000.0,3,2.5,137.0,1.0
Alameda,162010.0,3,2.5,220.0,6.0
Tegucigalpa,210000.0,5,4.0,612.0,2.0
Tegucigalpa,283500.0,3,3.5,345.0,8.0
Residencial Plaza,158000.0,6,5.5,120.0,2.0
Tepeyac,689000.0,5,4.5,390.0,4.0
Tegucigalpa,365000.0,3,2.5,361.0,0.0
Talanga,115000.0,4,5.0,363.0,0.0
Miramontes,325000.0,4,2.5,310.0,2.0
Lomas del Guijarro,720000.0,4,4.5,631.0,4.0
Valle de Angeles,2500.0,3,4.5,400.0,3.0
Altos de Miramontes,480000.0,4,5.0,571.0,4.0
Las Uvas,275000.0,4,4.5,400.0,2.0
La Hacienda,1200000.0,4,5.5,600.0,4.0
Las Hadas,185000.0,3,3.5,130.0,1.0
Las Hadas,235000.0,4,4.5,190.0,2.0
15 de Septiembre,410000.0,4,2.5,359.0,3.0
Santa Lucia,201000.0,3,3.5,997.0,2.0
El Hatillo,700000.0,3,4.5,650.0,4.0
Tepeyac,3300.0,5,4.5,670.0,5.0
El Jícaro,35000.0,3,2.0,140.0,20.0
San Ignacio,410000.0,3,3.5,392.0,2.0
Lomas del Guijarro,420000.0,3,3.5,255.0,2.0
15 de Septiembre,300000.0,5,3.5,400.0,4.0
Distrito Central,2300.0,3,5.5,600.0,6.0
Miramontes,700000.0,5,3.5,936.0,2.0
El Hatillo,5000.0,4,6.5,1900.0,10.0
Taulabé,200000.0,3,4.5,290.0,4.0
El Hatillo,450000.0,6,4.5,590.0,6.0
La Cumbre,250000.0,3,3.5,234.0,2.0
Santa Lucia,240000.0,3,3.5,298.0,6.0
Tegucigalpa,3500.0,3,3.5,450.0,3.0
San Ignacio,330000.0,3,3.5,250.0,2.0
San Carlos,285000.0,3,3.5,280.0,2.0
San Ignacio,980.0,3,3.5,170.0,2.0
El Molino,1250.0,4,4.5,510.0,3.0
Lomas del Guijarro,295000.0,3,3.5,283.0,2.0
San Ignacio,375000.0,4,3.5,375.0,3.0
San Ignacio,1500000.0,4,4.5,810.0,4.0
El Hatillo,450000.0,4,4.5,266.0,6.0
La Cumbre,230000.0,3,2.5,230.0,2.0
Valle de Angeles,2000.0,3,3.0,410.0,10.0
Lomas del Guijarro,365000.0,3,3.5,450.0,0.0
Lomas del Mayab,420000.0,3,3.5,311.0,4.0
El Hatillo,550000.0,4,4.5,564.0,15.0
El Country,180000.0,4,4.5,352.0,2.0
El Chimbo,325000.0,3,2.5,1178.0,4.0
Tegucigalpa,972055.0,4,4.5,1235.0,15.0
Florencia Sur,550000.0,4,4.5,400.0,2.0
San Ignacio,1155000.0,4,4.5,500.0,7.0
Altos de Miraflores,950.0,3,3.5,290.0,2.0
Florencia Norte,495000.0,4,4.5,450.0,4.0
El Hatillo,550000.0,4,4.5,648.0,10.0
Palmeras de San Ignacio,520000.0,3,3.5,391.0,0.0
El Hatillo,600000.0,3,2.5,527.0,4.0
Loma Linda,480000.0,3,3.5,600.0,0.0
Loma Linda Norte,360000.0,3,3.5,470.0,3.0
El Hatillo,558500.0,3,4.5,602.0,10.0
Castaños Sur,2000.0,15,4.0,450.0,10.0
Danlí,875000.0,3,3.5,500.0,0.0
Valle de Angeles,342779.0,3,2.5,220.0,5.0
El Hatillo,450000.0,3,3.5,475.0,5.0
Las Lomas del Guijarro,750000.0,3,3.5,410.0,2.0
Lomas del Guijarro,650000.0,4,4.5,875.0,4.0
Las Casitas,570000.0,3,3.5,400.0,6.0
Las Lomas del Guijarro,900000.0,4,3.5,400.0,2.0
Lomas del Guijarro,2300000.0,3,3.5,400.0,4.0
El Trapiche,850000.0,5,6.0,600.0,6.0
Lomas del Guijarro Sur,450000.0,3,3.5,290.0,3.0
El Chimbo,450000.0,4,3.5,600.0,0.0
Lomas de Miraflores Sur,850000.0,4,4.5,400.0,0.0
Roatán,450000.0,4,2.5,221.0,0.0
Lomas del Guijarro,375000.0,3,2.5,440.0,2.0
El Hatillo,345000.0,4,4.5,500.0,5.0
Castaños Sur,288000.0,3,2.0,269.0,3.0
Cerro Azul,395000.0,3,3.5,289.0,4.0
Lomas del Mayab,635000.0,4,4.5,456.0,2.0
Florencia Norte,600000.0,4,5.0,526.0,4.0
Tegucigalpa,115500.0,3,2.5,105.0,1.0
Lomas del Guijarro,500000.0,4,4.5,300.0,4.0
Palmeras de San Ignacio,680000.0,4,4.0,550.0,4.0
Las Minitas,325000.0,3,2.0,222.0,5.0
Lomas del Guijarro,892500.0,4,5.5,980.0,4.0
Villas del Real,78000.0,3,2.5,108.0,2.0
Agua Dulce,192370.0,3,2.5,120.0,2.0
Agua Dulce,201955.0,3,2.5,141.0,2.0
Agua Dulce,218512.0,3,2.5,159.0,2.0
Las Hadas,170000.0,3,2.5,223.0,2.0
Castaños Sur,300000.0,3,3.5,300.0,2.0
Kennedy,137000.0,4,2.0,250.0,1.0
Florencia Sur,397000.0,3,2.5,277.0,3.0
Modelo,160000.0,4,3.0,220.0,2.0
Miramontes,208000.0,3,2.0,250.0,2.0
Tres Caminos,606585.0,3,2.5,404.0,3.0
El Hatillo,320000.0,4,3.5,390.0,6.0
Santa Lucia,275000.0,4,4.5,423.0,0.0
San Ignacio,350000.0,4,3.0,275.0,0.0
San Ignacio,1200000.0,3,3.5,783.0,4.0
Lomas del Guijarro,650000.0,5,5.5,604.0,0.0
La Reforma,430000.0,4,4.0,338.0,4.0
Lomas del Mayab,3000.0,4,3.5,600.0,4.0
Tres Caminos,495000.0,5,3.5,720.0,8.0
Ruben Dario,450000.0,4,4.5,480.0,0.0
El Anillo Periferico,124000.0,3,2.5,107.0,2.0
Tepeyac,800000.0,3,5.0,600.0,0.0
Lomas del Mayab,550000.0,5,5.5,418.0,4.0
Palmira,499000.0,3,2.5,483.0,2.0
El Chimbo,245000.0,3,1.5,290.0,4.0
El Chimbo,82000.0,2,1.0,70.0,2.0
Los Almendros,300000.0,3,2.0,200.0,1.0
Villa Vieja,125000.0,3,2.5,155.0,0.0
Guanacaste,113499.0,5,4.0,300.0,1.0
El Hatillo,630000.0,3,3.5,550.0,6.0
Roble Oeste,164000.0,3,3.0,161.0,2.0
Loma Alta,475000.0,4,4.5,375.0,2.0
Florencia Norte,600000.0,3,3.5,400.0,0.0
Los Angeles,600000.0,3,3.5,620.0,2.0
Las Hadas,386000.0,3,2.0,420.0,2.0
Las Tres Rosas,320000.0,3,2.5,190.0,0.0
Loma Linda Norte,750000.0,5,5.5,603.0,0.0
Miramontes,190000.0,3,2.5,232.0,2.0
La Granja,185000.0,4,2.5,239.0,0.0
San Ignacio,850000.0,3,4.5,650.0,5.0
Lomas del Guijarro,4000.0,4,5.5,630.0,8.0
Las Colinas,135000.0,5,3.0,220.0,1.0
Las Torres,330000.0,3,3.5,300.0,5.0
Lomas del Guijarro,210000.0,3,1.5,188.0,1.0
Altos de Miramontes,365000.0,3,3.5,358.0,4.0
El Hatillo,300000.0,2,2.5,280.0,0.0
La Cumbre,649087.0,4,3.5,585.0,2.0
Lomas del Guijarro,395000.0,4,3.5,625.0,4.0
Miralago,310000.0,3,3.5,250.0,3.0
Altos de Miramontes,275000.0,5,5.5,311.0,0.0
Las Hadas,260000.0,5,4.5,356.0,3.0
Loma Verde,590000.0,4,4.5,418.0,2.0
Maradiaga,330000.0,3,2.5,659.0,2.0
Barrio Guadalupe,310500.0,3,3.0,210.0,0.0
Los Angeles,450000.0,4,4.0,510.0,5.0
Loma Linda Norte,500000.0,4,4.5,350.0,4.0
Lomas del Mayab,420000.0,3,2.5,399.0,3.0
Lomas del Country,180000.0,4,4.5,352.0,1.0
Las Hadas,200000.0,3,2.5,220.0,3.0
San Ignacio,973000.0,3,3.5,793.0,4.0
Villa Elena,455000.0,3,3.5,516.0,1.0
El Hatillo,390000.0,4,3.5,437.0,0.0
Altos de Miramontes,480000.0,4,4.5,468.0,4.0
La Reforma,280000.0,5,3.5,489.0,0.0
Modelo,240000.0,3,2.5,305.0,0.0
San Matias,375000.0,4,4.5,580.0,10.0
San Ignacio,1450000.0,4,5.0,770.0,4.0
El Hatillo,1200000.0,6,6.5,1000.0,6.0
Viera,2500000.0,5,6.0,1118.0,6.0
El Hatillo,580000.0,4,3.5,788.0,6.0
Parcaltagua,1200000.0,2,2.5,500.0,1.0
Avenida La Paz,750000.0,3,3.5,591.0,4.0
Lomas del Guijarro,450000.0,3,3.0,525.0,0.0
El Hatillo,600000.0,4,4.5,1047.0,8.0
Lomas del Guijarro,600000.0,4,4.5,490.0,4.0
Castaños Sur,310000.0,4,3.5,290.0,2.0
Lomas del Guijarro,392000.0,3,3.5,305.0,2.0
Lara Norte,300000.0,2,2.5,651.0,2.0
Altos de Miramontes,370000.0,3,3.5,450.0,4.0
Lomas de Miraflores,640000.0,3,3.5,450.0,3.0
Los Angeles,350000.0,4,4.5,660.0,0.0
Las Hadas,240000.0,4,4.5,300.0,3.0
Las Tres Rosas,131926.0,3,2.0,2023.0,2.0
Las Tres Rosas,143627.0,3,2.5,2023.0,2.0
Las Tres Rosas,118560.0,3,1.5,2023.0,2.0
Santa Lucía,500000.0,3,3.5,635.0,10.0
Valle de Angeles,800000.0,7,6.0,550.0,8.0
Valle de Angeles,525500.0,3,3.0,429.0,1.0
San Juan,48500.0,2,1.0,60.0,2.0
El Pedregal,700000.0,5,6.0,900.0,3.0
Valle de Angeles,1091000.0,3,5.5,539.0,0.0
Las Tres Rosas,654000.0,4,4.0,1128.0,6.0
El Recreo,75000.0,3,2.0,79.0,2.0
Valle de Angeles,42700.0,4,3.0,260.0,1.0
Res. Honduras Shore Plantations,380000.0,4,3.5,540.0,4.0
La Loma,315000.0,3,2.5,400.0,13.0
Zambrano,850000.0,6,6.5,640.0,6.0
Omoa,300000.0,4,3.0,400.0,3.0
Solpinar,1245000.0,3,3.5,809.0,4.0
Valle de Angeles,252267.0,3,2.0,195.0,2.0
Santa Lucía,270000.0,4,4.0,375.0,0.0
Residencial Siboney,800000.0,5,5.5,945.0,4.0
El Molino,990000.0,4,5.5,333.0,0.0
La Ensenada,370000.0,4,3.0,300.0,2.0
Los Encinos,120358.0,2,2.0,196.0,0.0
Valle de Angeles,315000.0,5,3.0,949.0,10.0
