,location,usd_price,bedrooms,bathrooms,surface_m²,parking
168,Altos del Trapiche,113328.0,3.0,2.0,110.0,0.0
169,Miraflores,115388.0,3.0,2.0,130.0,0.0
171,Centroamérica,164840.0,3.0,2.0,210.0,0.0
178,Portal del Bosque,133933.0,3.0,2.0,129.0,0.0
183,Los Laureles,44301.0,2.0,1.0,68.64,0.0
184,El Hato,156598.0,3.0,2.0,142.0,0.0
186,Tiloarque,78299.0,4.0,3.0,92.0,0.0
187,Las Uvas,106116.0,3.0,2.0,123.0,0.0
189,Toncontin,103025.0,3.0,2.0,216.0,0.0
190,Tres Caminos,618150.0,4.0,3.0,280.0,0.0
194,Las Minitas,164840.0,3.0,2.0,215.0,0.0
197,Pueblo Nuevo,180294.0,3.0,3.0,220.0,0.0
198,Las Uvas,154538.0,3.0,3.0,202.0,0.0
200,Loma Linda Sur,494520.0,3.0,3.0,600.0,0.0
201,Cerro Grande,67997.0,5.0,3.0,164.0,0.0
203,Altos del Trapiche,159689.0,4.0,3.0,225.0,0.0
205,Portal del Bosque,175143.0,3.0,2.0,165.0,0.0
208,Las Uvas,152477.0,3.0,2.0,241.0,0.0
209,Centroamérica,96844.0,3.0,2.0,93.0,0.0
210,Roble Oeste,113328.0,3.0,4.0,145.0,0.0
211,Altos de Toncontin,82420.0,3.0,3.0,160.0,0.0
214,Centroamérica,95401.0,4.0,3.0,141.0,0.0
215,Villas del Real,94783.0,4.0,3.0,135.0,0.0
217,El Sauce,211201.0,4.0,4.0,224.0,0.0
218,El Sauce,154538.0,4.0,4.0,150.0,0.0
219,La Humuya,257563.0,5.0,3.0,250.0,0.0
220,15 de Septiembre,185445.0,3.0,4.0,352.0,0.0
221,Los Angeles,252411.0,3.0,3.0,279.0,0.0
222,San Ignacio,226655.0,3.0,3.0,240.0,0.0
225,Las Uvas,123630.0,3.0,2.0,205.0,0.0
226,Miraflores,167931.0,3.0,2.0,160.0,0.0
227,Las Uvas,610114.0,3.0,3.0,350.0,0.0
228,Las Uvas,164840.0,3.0,2.0,258.0,0.0
229,Venecia,123630.0,3.0,2.0,176.0,0.0
230,Venecia,103025.0,3.0,3.0,133.0,0.0
231,Honduras,45331.0,3.0,2.0,89.0,0.0
234,Miraflores Sur,184518.0,3.0,3.0,200.0,0.0
235,Altos del Trapiche,288470.0,4.0,4.0,525.0,0.0
240,Las Uvas,92383.0,3.0,3.0,140.0,0.0
243,Las Hadas,669663.0,4.0,4.0,450.0,0.0
246,Miraflores,143205.0,5.0,3.0,160.0,0.0
248,Venecia,94783.0,3.0,3.0,120.0,0.0
250,Cerro Grande,247260.0,4.0,3.0,153.0,0.0
252,El Sauce,190596.0,3.0,3.0,170.0,0.0
257,Monte Fresco,139084.0,3.0,3.0,270.0,0.0
261,El Trapiche,216353.0,3.0,3.0,190.0,0.0
262,Los Angeles,160719.0,3.0,3.0,286.0,0.0
269,Los Robles,195748.0,4.0,4.0,288.0,0.0
271,Los Robles,190596.0,4.0,3.0,212.0,0.0
274,Las Uvas,226655.0,3.0,2.0,265.0,0.0
275,El Sauce,958.48,3.0,2.0,190.0,2.0
276,Loma Linda Sur,175143.0,4.0,3.0,160.0,0.0
278,Honduras,65318.0,2.0,3.0,151.0,0.0
279,Las Hadas,247260.0,3.0,3.0,245.0,0.0
280,Pueblo Nuevo,185445.0,3.0,3.0,147.0,0.0
282,Tepeyac,370890.0,3.0,3.0,383.0,0.0
285,Portal del Bosque,168961.0,3.0,2.0,158.0,0.0
